reservadas
abs
aiter
all
and
anext
any
arrow
as
ascii
assert
async
await
beautifulsoup 
bin
Bob
bokeh
bool
break
breakpoint
bytearray
bytes
caffe2
callable
chainer
chr
cirq
class
classmethod
compile
complex
continue
dash
def
del
delattr
delorean 
dict
dir
divmod
elif
else
enumerate
eval
except
exec
fabric
false
filter
finally
fire
flashtext
flask
float
for
format
from
frozenset
gensim
getattr
global
globals
hasattr
hash
Hebel
help
hex
id
if
import
import
in
input
int
ipython
is
isinstance
issubclass
iter
keras
lambda
len
list
locals
luminoth
mahotas
map
matplotlib
max
memoryview
milk
min
networkX 
next
nltk
none
nonlocal
nose
not
numpy
nuPIC
object
oct
open
opencv 
or
ord
pandas 
pass
pillow
Pipenv
plotly
poetry
pow
print
property
pybrain
pygame
pyglet
pygtk
pyqt
pytil
pytorch
pywin32
raise
ramp
range
repr
requests
return
reversed
round
scapy
scikit learn
scipy 
scrapy
seaborn
set
setattr
slice
sorted
spacy
sqlalchemy
staticmethod
statsmodels
str
sum
super
symPy
tensorFlow
textBlob
theano
true
try
tuple
twisted
type
vars
while
with
wxpython
yield
zip
